video_title,video_views,video_dislikes,video_likes,video_rating,video_length,video_category,video_author,video_publish_date
Tkinter Python GUI Tutorial For Beginners 1 - Introduction to Tkinter,515,515.0,515,515.0,00:08.0:35.0,Education,ProgrammingKnowledge,20190314
Tkinter Python GUI Tutorial For Beginners 2 - Setting Up Python with PyCharm,33142,74.0,117,33142.0,0:06:27,Education,ProgrammingKnowledge,20190324
Tkinter Python GUI Tutorial For Beginners 3 - Creating First GUI Application with Tkinter,33093,15.0,257,33093.0,00:015:21,Education,ProgrammingKnowledge,20190324
Tkinter Python GUI Tutorial For Beginners 4 - Handle Button Click Event,29539,19.0,193,29539.0,00:012:14,Education,ProgrammingKnowledge,20190328
"Tkinter Python GUI Tutorial For Beginners 5 - Entry Widget, ComboBox widget, Tkinter Image",19550,6.0,182,19550.0,00:021:31,Education,ProgrammingKnowledge,20190404
"Tkinter Python GUI Tutorial For Beginners 6 - Radiobuttons, Checkboxes, MessageBox",10355,4.0,81,10355.0,00:019:53,Education,ProgrammingKnowledge,20190409
Tkinter Python GUI Tutorial For Beginners 7 - Creating Menus with Tkinter,8691,4.0,79,8691.0,00:010:53,Education,ProgrammingKnowledge,20190414
Full Python Programming Course | Python Tutorial for Beginners | Learn Python,550587,151.0,7598,550587.0,9:46:43,Education,ProgrammingKnowledge,20190423
Tkinter Python GUI Tutorial For Beginners 8 - Open New Window on Button Click - Multiple Windows,23023,10.0,206,23023.0,00:012:21,Education,ProgrammingKnowledge,20190426
Tkinter Python GUI Tutorial For Beginners 9 - Connect Tkinter App To The SQLite Database,9352,10.0,106,9352.0,00:016:30,Education,ProgrammingKnowledge,20190603
Tkinter Python GUI Tutorial For Beginners 10 - Create Simple Paint Application Using Tkinter,13412,16.0,157,13412.0,00:022:19,Education,ProgrammingKnowledge,20190605
Tkinter Python GUI Tutorial For Beginners 11 - Tic-Tac-Toe Game in python 3 Tkinter,13850,21.0,121,13850.0,00:012:24,Education,ProgrammingKnowledge,20190608
Tkinter Python GUI Tutorial For Beginners 12 - Simple GUI Calculator using Tkinter,20119,19.0,190,20119.0,00:011:49,Education,ProgrammingKnowledge,20190611
Tkinter Python GUI Tutorial For Beginners 13-  How to embed Matplotlib graph to Tkinter GUI,20251,27.0,175,20251.0,00:012:46,Education,ProgrammingKnowledge,20190617
Master The Basics Of Tkinter - Full Tkinter Programming Course,21762,14.0,355,21762.0,3:00:50,Education,ProgrammingKnowledge,20190626
Install PyCharm IDE on Windows 10 + Creating and Running Your First Python Project,161288,104.0,1893,161288.0,00:012:16,Education,ProgrammingKnowledge,20190909
TEXT TO SPEECH IN PYTHON | Convert Text to Speech in Python,96840,81.0,1733,96840.0,00:011:26,Education,ProgrammingKnowledge,20190910
Getting Started with Python in Visual Studio Code | Python with VSCode,293629,257.0,3277,293629.0,00:014:38,Education,ProgrammingKnowledge,20190912
Top 7 Programming Languages To Learn In 2020 | Best Programming Languages 2020,64228,50.0,1107,64228.0,00:010:26,Education,ProgrammingKnowledge,20191220
Speech Recognition in Python | Speech To Text using Python,5705,8.0,171,5705.0,0:07:23,Education,ProgrammingKnowledge,20200209
How to Convert Text to Speech in Python using win32com.client,3031,3.0,109,3031.0,0:05:17,Education,ProgrammingKnowledge,20200215
Python Tutorial for Beginners - Full Course in 12 Hours (2020) - Python Mega Course,27993,11.0,685,27993.0,11:46:25,Education,ProgrammingKnowledge,20200218
Interstellar theme song - video,8027695,15289.0,20204325,8027695.0,0:08:42,Music,K Peti,20190611
Crash Course Physics Preview,829267,192.0,21853,829267.0,0:02:36,Education,CrashCourse,20160218
Motion in a Straight Line: Crash Course Physics #1,3599269,1625.0,47932,3599269.0,00:010:40,Education,CrashCourse,20160331
Derivatives: Crash Course Physics #2,1425119,938.0,20090,1425119.0,00:010:2,Education,CrashCourse,20160407
Integrals: Crash Course Physics #3,768377,380.0,10852,768377.0,00:010:9,Education,CrashCourse,20160414
Vectors and 2D Motion: Crash Course Physics #4,1060964,348.0,12616,1060964.0,00:010:6,Education,CrashCourse,20160421
Newton's Laws: Crash Course Physics #5,2876867,1407.0,32042,2876867.0,00:011:4,Education,CrashCourse,20160428
Friction: Crash Course Physics #6,1154324,511.0,12586,1154324.0,00:010:59,Education,CrashCourse,20160505
Uniform Circular Motion: Crash Course Physics #7,1189076,553.0,14210,1189076.0,0:09:54,Education,CrashCourse,20160512
Newtonian Gravity: Crash Course Physics #8,788397,298.0,9867,788397.0,0:09:20,Education,CrashCourse,20160519
"Work, Energy, and Power: Crash Course Physics #9",1779852,769.0,20669,1779852.0,0:09:55,Education,CrashCourse,20160526
Collisions: Crash Course Physics #10,901732,326.0,10220,901732.0,0:09:21,Education,CrashCourse,20160602
Rotational Motion: Crash Course Physics #11,809797,412.0,8573,809797.0,0:08:55,Education,CrashCourse,20160609
Torque: Crash Course Physics #12,740853,352.0,10024,740853.0,0:08:03,Education,CrashCourse,20160616
Statics: Crash Course Physics #13,414469,152.0,5843,414469.0,0:09:08,Education,CrashCourse,20160623
Fluids at Rest: Crash Course Physics #14,654563,171.0,9978,654563.0,0:09:59,Education,CrashCourse,20160708
Fluids in Motion: Crash Course Physics #15,698670,240.0,11143,698670.0,0:09:47,Education,CrashCourse,20160714
Simple Harmonic Motion: Crash Course Physics #16,985964,456.0,12016,985964.0,0:09:11,Education,CrashCourse,20160721
Traveling Waves: Crash Course Physics #17,1165270,422.0,14406,1165270.0,0:07:45,Education,CrashCourse,20160728
Sound: Crash Course Physics #18,1053970,458.0,11443,1053970.0,0:09:39,Education,CrashCourse,20160804
The Physics of Music: Crash Course Physics #19,494929,203.0,7771,494929.0,00:010:35,Education,CrashCourse,20160811
Temperature: Crash Course Physics #20,331104,125.0,4535,331104.0,0:09:01,Education,CrashCourse,20160818
Kinetic Theory and Phase Changes: Crash Course Physics #21,370898,138.0,4554,370898.0,0:09:09,Education,CrashCourse,20160901
The Physics of Heat: Crash Course Physics #22,596421,303.0,7360,596421.0,0:09:16,Education,CrashCourse,20160908
Thermodynamics: Crash Course Physics #23,996752,491.0,13372,996752.0,00:010:4,Education,CrashCourse,20160915
Engines: Crash Course Physics #24,247916,122.0,3641,247916.0,00:010:21,Education,CrashCourse,20160922
Electric Charge: Crash Course Physics #25,1388422,553.0,17667,1388422.0,0:09:42,Education,CrashCourse,20160929
Electric Fields: Crash Course Physics #26,984168,559.0,10815,984168.0,0:09:57,Education,CrashCourse,20161007
"Voltage, Electric Energy, and Capacitors: Crash Course Physics #27",561545,539.0,6079,561545.0,00:010:14,Education,CrashCourse,20161014
Electric Current: Crash Course Physics #28,787393,485.0,8428,787393.0,0:08:23,Education,CrashCourse,20161020
DC Resistors & Batteries: Crash Course Physics #29,310673,119.0,3852,310673.0,00:010:48,Education,CrashCourse,20161027
